#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1904.15   -0.193071    0.031564    0.021541    0.032872  -0.0002426   0.0000000    0.243812    0.000000    0.016893    0.000000
   1904.20   -0.219868    0.022206    0.005790    0.028864   0.0000679   0.0000000    0.244539    0.000000    0.015876    0.000000
   1904.25   -0.202005    0.023386    0.077078    0.021584   0.0002182   0.0000000    0.244946    0.000000    0.014949    0.000000
   1904.30   -0.184655    0.032030    0.127903    0.024834  -0.0002483   0.0000000    0.245073    0.000000    0.014178    0.000000
   1904.35   -0.159069    0.019016    0.153441    0.021039   0.0000494   0.0000000    0.245155    0.000000    0.013770    0.000000
   1904.40   -0.120141    0.022954    0.233767    0.021691   0.0001579   0.0000000    0.244013    0.000000    0.014755    0.000000
   1904.45   -0.057858    0.016990    0.243982    0.017523  -0.0001141   0.0000000    0.241554    0.000000    0.014413    0.000000
   1904.50    0.000606    0.015367    0.249466    0.016865  -0.0000037   0.0000000    0.238924    0.000000    0.014654    0.000000
   1904.55    0.064132    0.017530    0.250023    0.019407   0.0002552   0.0000000    0.235455    0.000000    0.015007    0.000000
   1904.60    0.100734    0.013990    0.206087    0.016490  -0.0001883   0.0000000    0.232227    0.000000    0.015023    0.000000
   1904.65    0.123804    0.014819    0.177215    0.014584  -0.0000255   0.0000000    0.231629    0.000000    0.015068    0.000000
   1904.70    0.156441    0.016337    0.139157    0.016712   0.0001687   0.0000000    0.230214    0.000000    0.015713    0.000000
   1904.75    0.167471    0.020983    0.118619    0.021588  -0.0003370   0.0000000    0.231146    0.000000    0.015418    0.000000
   1904.80    0.155240    0.019598    0.071073    0.018007   0.0000975   0.0000000    0.233364    0.000000    0.015992    0.000000
   1904.85    0.148979    0.021608    0.033425    0.018518   0.0001080   0.0000000    0.234806    0.000000    0.017457    0.000000
   1904.90    0.107697    0.028156    0.024434    0.025411  -0.0001190   0.0000000    0.236326    0.000000    0.018073    0.000000
   1904.95    0.118826    0.026884   -0.006842    0.026252   0.0000920   0.0000000    0.237450    0.000000    0.018605    0.000000
   1905.00    0.064315    0.022409   -0.053605    0.025719   0.0001431   0.0000000    0.237418    0.000000    0.019336    0.000000
   1905.05    0.009210    0.024028   -0.103039    0.026648  -0.0001645   0.0000000    0.237127    0.000000    0.019297    0.000000
